name,hostid,lat,lon,location
446_GAGRA TONNEL_BTS_HW,11002,43.317363889,40.248322222,
448_CANDRIPSH 5_BTS_HW,11003,43.385156476,40.032659588,
449_CANDRIPSH VOKZAL_BTS_HW,11004,43.372488,40.094356,
450_GAGRA TRASSA 3_BTS_HW,11005,43.352911,40.139281,
451_CANDRIPSH 7_BTS_HW,11089,43.381556,40.071895,
453_PSOU UVD_BTS_HW,11006,43.394834436,40.010684092,
454_MAHADYR 2_BTS_HW,11007,43.44857,40.089892,
457_MKLRIPSH_BTS_HW,11008,43.497553,40.086669,
458_MKLRIPSH 2_BTS_HW,11009,43.507425,40.07007222,
461_RAKUSHKA_BTS_HW,11195,43.339381,40.168131,
501_ADZUBZA_BTS_HW,11010,42.84435,41.176952778,
502_ARAKICH_BTS_HW,11011,42.832866667,41.218694444,
503_ATARA_BTS_HW,11012,42.876875229,41.284133416,
504_ATARA 2_BTS_HW,11013,42.916188889,41.289927778,
505_KINDGI_BTS_HW,11014,42.792205556,41.271902778,
506_TAMYSH_BTS_HW,11015,42.805419444,41.341641667,
507_GUADA_BTS_HW,11016,42.918316667,41.4295,
508_DZHGERDA_BTS_HW,11017,42.893777778,41.375222222,
509_KUTOL_BTS_HW,11018,42.854241667,41.380844444,
510_KUTOL 2_BTS_HW,11019,42.831996,41.371668,
511_LABRA_BTS_HW,11020,42.805166667,41.391472222,
512_TAMYSH 2_BTS_HW,11021,42.789694444,41.368952778,
513_ARASADZYH_BTS_HW,11022,42.889619444,41.601841667,
514_CHLOU_BTS_HW,11023,42.87695,41.483975,
515_DZHAL_BTS_HW,11024,42.835163889,41.562883333,
516_MOKVA_BTS_HW,11025,42.82525,41.514952778,
517_PAKUASH_BTS_HW,11026,42.801988889,41.577491667,
518_KACIHABLA_BTS_HW,11027,42.778011111,41.564319444,
519_OCHAMCHIRA TRASSA_BTS_HW,11028,42.754,41.4613,
520_OCHAMCHIRA KLAD_BTS_HW,11029,42.738105556,41.449838889,
521_OCHAMCHIRA CENTR_BTS_HW,11030,42.708272222,41.467191667,
522_OCHAMCHIRA MCHS_BTS_HW,11031,42.716713889,41.468608333,
523_TKUARCHAL RTPC_BTS_HW,11032,42.846897222,41.703997222,
525_TKUARCHAL KARER_BTS_HW,11034,42.851488889,41.684863889,
526_TKUARCHAL LEON_BTS_HW,11035,42.860713889,41.659675,
527_REKA_BTS_HW,11036,42.790308333,41.642472222,
528_AGUBEDIA_BTS_HW,11037,42.750033333,41.692441667,
529_UAKUM_BTS_HW,11038,42.732833333,41.731388889,
530_GAL PLOTINA_BTS_HW,11039,42.649422222,41.738552778,
531_GAL RUS_BTS_HW,11040,42.626608333,41.735491667,
532_GAL CENTR_BTS_HW,11041,42.625794444,41.740197222,
533_GAL CENTR 2_BTS_HW,11042,42.620380556,41.74675,
534_BARGEB_BTS_HW,11043,42.564775,41.653430556,
535_CHIBURHINDZ_BTS_HW,11044,42.575616667,41.811661111,
536_TAGILON_BTS_HW,11045,42.546477778,41.7815,
537_NABAKIA_BTS_HW,11046,42.509063889,41.68805,
538_OTOBAIA_BTS_HW,11047,42.482377778,41.619961111,
539_INGUR GES_BTS_HW,11048,42.680294444,41.873030556,
540_DIHAZURKA_BTS_HW,11049,42.623961111,41.880066667,
541_INGUR MOST_BTS_HW,11050,42.585619444,41.847613889,
542_TAMYSH VILLAGE_BTS_HW,11051,42.77325,41.34377778,
543_GAGIDA AM_BTS_HW,11163,42.518056,41.604910,42.518056 41.604910
544_BCHARA_BTS_HW,11052,42.450442,41.564575,
545_GAL 3_BTS_HW,11164,42.601341,41.773256,
546_GUMURISH_BTS_HW,11053,42.711556,41.781433,
547_PEREPADNAYA_BTS_HW,11082,42.650833,41.764722,
548_PAPYNYRHUA_BTS_HW,11054,42.6364,41.927217,
549_SIDA AM_BTS_HW,11210,42.570747,41.711242,
550_GUDAA_BTS_HW,11081,42.598611,41.519166,
551_KOKHORA AM_BTS_HW,11319,42.6587395,41.7126913,"42.6587395,41.7126913"
553_MERKULA_BTS_HW,11055,42.790056,41.503139,
554_MOKVA SOVHOZ_BTS_HW,11056,42.836381,41.474606,
555_AIMARA_BTS_HW,11057,42.907831,41.499442,
557_OTAP_BTS_HW,11058,42.915116,41.542077,
560_TKUARCHAL GORA_BTS_HW,11059,42.846997,41.692603,
561_TKUARCHAL SELO_BTS_HW,11080,42.840000,41.667777,
564_OCHAMCHIRA PORT_BTS_HW,11060,42.743922,41.428344,
565_OCHAMCHIRA ATP_BTS_HW,11061,42.722875,41.45855,
568_TOUMISH_BTS_HW,11062,42.858472,41.347156,
569_KINDGI 2_BTS_HW,11063,42.816972,41.288389,
570_ADZUBZA TEPLITSA_BTS_HW,11064,42.820975,41.160622,
575_ALAKUMKHARA_BTS_HW,11209,42.674333,41.916972,
579_GAGIDA 2_BTS_HW,11264,42.490867,41.567797,
584_ACHGUARA_BTS_HW,11065,42.681953,41.636583,
585_ILOR_BTS_HW,11168,42.695797,41.498220,"42.695797, 41.498220"
588_OCHAMCHIRA AALDZGA_BTS_HW,11066,42.708167,41.481503,
589_ATARA 3_BTS_HW,11067,42.896953,41.311172,
590_RYAP_BTS_HW,11068,42.63736667,41.65394444,
600_MAYAK DEPO_BTS_HW,11069,43.004294,40.981633,
601_SUHUM MVD_BTS_HW,11139,,,
605_SUHUM ROVD AM_BTS_HW,11247,43.018581,40.982324,"43.018581, 40.982324"
607_ESHERA ELEVATOR_BTS_HW,11071,43.024631,40.929752,
611_GUMA 2_BTS_HW,11087,43.082799,41.028759,Столб 10м. во дворе ретсорана
612_ACHADARA 2_BTS_HW,11072,43.050247,40.989763,
620_SUHUM RYNOK 2_BTS_HW,11073,42.99812023,41.005716271,
